tribe,tier,minted,shiny,animated,special
Ammit,2,255,18,14,2
Anansi,1,190,7,19,2
Balrog,1,222,17,10,3
Banshee,3,469,24,15,4
Basilisk,1,173,15,8,2
Bear,5,891,43,48,3
Behemoth,2,316,19,19,3
Berserker,4,700,27,43,3
Bigfoot,5,923,48,46,5
Chimera,2,264,14,16,3
Chupacabra,2,249,14,10,1
Colossus,1,214,11,13,1
Cyclops,3,504,27,28,5
Direwolf,4,612,36,34,6
Dragon,1,179,15,9,2
Draugr,3,464,25,24,5
Ent,4,715,34,33,4
Ettin,3,500,38,19,1
Fairy,5,940,64,49,5
Fenrir,4,598,43,31,4
Ghoul,4,714,41,41,1
Giant,3,494,24,27,5
Gnome,5,938,47,51,4
Goblin,4,687,36,37,2
Golem,4,732,44,41,4
Gorgon,2,293,11,12,3
Griffin,1,159,8,4,1
Harpy,3,406,25,13,2
Hippogriff,4,600,30,35,1
Hydra,2,318,18,19,3
Jaguar,4,618,35,32,2
Jiangshi,1,170,9,6,2
Jotunn,3,540,40,22,2
Juggernaut,2,318,16,18,3
Kappa,4,692,41,40,5
Kelpie,5,932,49,48,7
Kitsune,2,299,26,11,1
Kraken,1,225,16,11,2
Leprechaun,5,933,49,51,3
Leviathan,1,229,9,8,2
Lich,2,279,23,11,2
Manticore,1,154,9,12,3
Mantis,5,878,48,44,6
Minotaur,1,189,10,8,4
Nemean Lion,4,723,42,32,6
Nephilim,2,323,20,24,2
Nue,2,269,14,10,2
Ogre,5,900,49,35,4
Oni,3,459,22,32,4
Orc,5,922,51,68,3
Pegasus,3,376,30,22,3
Phoenix,1,156,7,13,3
Pixie,5,934,52,44,5
Qilin,2,252,8,6,6
Rakshasa,3,442,26,29,4
Rat,5,874,53,44,5
Roc,3,423,16,19,2
Satori,4,625,43,29,1
Skeleton,5,947,42,37,7
Skinwalker,2,264,14,15,1
Spider,5,892,46,46,2
Sprite,4,662,30,40,7
Tarrasque,1,231,4,11,1
Titan,2,336,18,19,4
Troll,5,920,51,60,7
Typhon,1,185,16,12,2
Unknown,Unknown,2,0,0,0
Vampire,3,468,12,32,2
Warlock,1,164,5,4,1
Wendigo,2,273,18,12,1
Weretiger,3,394,26,23,2
Werewolf,3,439,23,26,3
Wolf,5,935,50,46,4
Wraith,4,687,34,25,3
Wyvern,3,399,15,19,4
Yeti,4,726,36,35,3
